data_source,model_type,repeat,sample_count,rmse,mae,error
yf_only,mlp,1,308,0.014936776346316181,0.006915058755312949,
yf_only,mlp,2,308,0.008152011741674235,0.005272470126386061,
yf_only,mlp,3,308,0.007512316934230029,0.004203377399658329,
epu,mlp,1,308,0.00518752033625151,0.0032111425486061377,
epu,mlp,2,308,0.02149376660581414,0.010621167879944266,
epu,mlp,3,308,0.008261572703031576,0.005061781647689453,
sentiment,mlp,1,308,0.008968171986392342,0.005031862042423615,
sentiment,mlp,2,308,0.018648743054560477,0.00817464432039767,
sentiment,mlp,3,308,0.012827951045905459,0.006916666448086555,
both,mlp,1,308,0.008111119969412382,0.004377079036783285,
both,mlp,2,308,0.011946841733404788,0.006859458225760868,
both,mlp,3,308,0.01655476266862406,0.00810399993995672,
yf_only,gated,1,308,0.006047884106291972,0.002516252710084568,
yf_only,gated,2,308,0.0042014063259421305,0.0025613010653496534,
yf_only,gated,3,308,0.011170130333537299,0.005300269224193145,
epu,gated,1,308,0.005327714891223031,0.0029379454834686674,
epu,gated,2,308,0.004578586598931097,0.002762618944970476,
epu,gated,3,308,0.014115649498020839,0.0037200847281172993,
sentiment,gated,1,308,0.004985192709550746,0.00273259726683769,
sentiment,gated,2,308,0.009841517578935654,0.005851763854346247,
sentiment,gated,3,308,0.006917114239409948,0.0030574880016703164,
both,gated,1,308,0.007140285165250673,0.004046990896713919,
both,gated,2,308,0.009258146797885582,0.005582361868448281,
both,gated,3,308,0.01790596132240051,0.005389058437069615,
