config,model_type,physics_weight,n_physics_samples,repeat,seed,sample_count,feature_count,rmse_log,mae_log,r2,rmse_orig,mae_orig,error
yf_only,gated,0.0,1000,1,42,308,5,0.2947944127413362,0.1820647031374885,0.9939255771839592,0.0063019685430507,0.0029256968758883,
yf_only,gated,0.0,1000,2,43,308,5,,,,,,"in user code:

    File ""/content/train_pinn.py"", line 369, in train_step  *
        optimizer.apply_gradients(zip(gradients, model.trainable_variables))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 463, in apply_gradients  **
        self.apply(grads, trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 502, in apply
        self.build(trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/adam.py"", line 93, in build
        self._momentums, self._velocities = self.add_optimizer_variables(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 390, in add_optimizer_variables
        self.add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/optimizer.py"", line 35, in add_variable_from_reference
        return super().add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 320, in add_variable_from_reference
        return self.add_variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 274, in add_variable
        variable = backend.Variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/common/variables.py"", line 206, in __init__
        self._initialize_with_initializer(initializer)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 52, in _initialize_with_initializer
        self._initialize(lambda: initializer(self._shape, dtype=self._dtype))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 42, in _initialize
        self._value = tf.Variable(

    ValueError: tf.function only supports singleton tf.Variables created on the first call. Make sure the tf.Variable is only created once or created outside tf.function. See https://www.tensorflow.org/guide/function#creating_tfvariables for more information.
"
yf_only,gated,0.0,1000,3,44,308,5,,,,,,"in user code:

    File ""/content/train_pinn.py"", line 369, in train_step  *
        optimizer.apply_gradients(zip(gradients, model.trainable_variables))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 463, in apply_gradients  **
        self.apply(grads, trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 502, in apply
        self.build(trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/adam.py"", line 93, in build
        self._momentums, self._velocities = self.add_optimizer_variables(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 390, in add_optimizer_variables
        self.add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/optimizer.py"", line 35, in add_variable_from_reference
        return super().add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 320, in add_variable_from_reference
        return self.add_variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 274, in add_variable
        variable = backend.Variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/common/variables.py"", line 206, in __init__
        self._initialize_with_initializer(initializer)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 52, in _initialize_with_initializer
        self._initialize(lambda: initializer(self._shape, dtype=self._dtype))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 42, in _initialize
        self._value = tf.Variable(

    ValueError: tf.function only supports singleton tf.Variables created on the first call. Make sure the tf.Variable is only created once or created outside tf.function. See https://www.tensorflow.org/guide/function#creating_tfvariables for more information.
"
yf_only,gated,0.1,1000,1,42,308,5,0.274261470936117,0.1817680456181092,0.99473026197879,0.0062168742676711,0.0028669540343312,
yf_only,gated,0.1,1000,2,43,308,5,,,,,,"in user code:

    File ""/content/train_pinn.py"", line 369, in train_step  *
        optimizer.apply_gradients(zip(gradients, model.trainable_variables))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 463, in apply_gradients  **
        self.apply(grads, trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 502, in apply
        self.build(trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/adam.py"", line 93, in build
        self._momentums, self._velocities = self.add_optimizer_variables(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 390, in add_optimizer_variables
        self.add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/optimizer.py"", line 35, in add_variable_from_reference
        return super().add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 320, in add_variable_from_reference
        return self.add_variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 274, in add_variable
        variable = backend.Variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/common/variables.py"", line 206, in __init__
        self._initialize_with_initializer(initializer)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 52, in _initialize_with_initializer
        self._initialize(lambda: initializer(self._shape, dtype=self._dtype))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 42, in _initialize
        self._value = tf.Variable(

    ValueError: tf.function only supports singleton tf.Variables created on the first call. Make sure the tf.Variable is only created once or created outside tf.function. See https://www.tensorflow.org/guide/function#creating_tfvariables for more information.
"
yf_only,gated,0.1,1000,3,44,308,5,,,,,,"in user code:

    File ""/content/train_pinn.py"", line 369, in train_step  *
        optimizer.apply_gradients(zip(gradients, model.trainable_variables))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 463, in apply_gradients  **
        self.apply(grads, trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 502, in apply
        self.build(trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/adam.py"", line 93, in build
        self._momentums, self._velocities = self.add_optimizer_variables(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 390, in add_optimizer_variables
        self.add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/optimizer.py"", line 35, in add_variable_from_reference
        return super().add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 320, in add_variable_from_reference
        return self.add_variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 274, in add_variable
        variable = backend.Variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/common/variables.py"", line 206, in __init__
        self._initialize_with_initializer(initializer)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 52, in _initialize_with_initializer
        self._initialize(lambda: initializer(self._shape, dtype=self._dtype))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 42, in _initialize
        self._value = tf.Variable(

    ValueError: tf.function only supports singleton tf.Variables created on the first call. Make sure the tf.Variable is only created once or created outside tf.function. See https://www.tensorflow.org/guide/function#creating_tfvariables for more information.
"
yf_only,gated,1.0,1000,1,42,308,5,0.2877457707680548,0.1883525063229539,0.9942149227387862,0.0072922815126923,0.0035037126218443,
yf_only,gated,1.0,1000,2,43,308,5,,,,,,"in user code:

    File ""/content/train_pinn.py"", line 369, in train_step  *
        optimizer.apply_gradients(zip(gradients, model.trainable_variables))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 463, in apply_gradients  **
        self.apply(grads, trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 502, in apply
        self.build(trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/adam.py"", line 93, in build
        self._momentums, self._velocities = self.add_optimizer_variables(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 390, in add_optimizer_variables
        self.add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/optimizer.py"", line 35, in add_variable_from_reference
        return super().add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 320, in add_variable_from_reference
        return self.add_variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 274, in add_variable
        variable = backend.Variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/common/variables.py"", line 206, in __init__
        self._initialize_with_initializer(initializer)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 52, in _initialize_with_initializer
        self._initialize(lambda: initializer(self._shape, dtype=self._dtype))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 42, in _initialize
        self._value = tf.Variable(

    ValueError: tf.function only supports singleton tf.Variables created on the first call. Make sure the tf.Variable is only created once or created outside tf.function. See https://www.tensorflow.org/guide/function#creating_tfvariables for more information.
"
yf_only,gated,1.0,1000,3,44,308,5,,,,,,"in user code:

    File ""/content/train_pinn.py"", line 369, in train_step  *
        optimizer.apply_gradients(zip(gradients, model.trainable_variables))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 463, in apply_gradients  **
        self.apply(grads, trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 502, in apply
        self.build(trainable_variables)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/adam.py"", line 93, in build
        self._momentums, self._velocities = self.add_optimizer_variables(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 390, in add_optimizer_variables
        self.add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/optimizer.py"", line 35, in add_variable_from_reference
        return super().add_variable_from_reference(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 320, in add_variable_from_reference
        return self.add_variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/optimizers/base_optimizer.py"", line 274, in add_variable
        variable = backend.Variable(
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/common/variables.py"", line 206, in __init__
        self._initialize_with_initializer(initializer)
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 52, in _initialize_with_initializer
        self._initialize(lambda: initializer(self._shape, dtype=self._dtype))
    File ""/usr/local/lib/python3.12/dist-packages/keras/src/backend/tensorflow/core.py"", line 42, in _initialize
        self._value = tf.Variable(

    ValueError: tf.function only supports singleton tf.Variables created on the first call. Make sure the tf.Variable is only created once or created outside tf.function. See https://www.tensorflow.org/guide/function#creating_tfvariables for more information.
"
yf_only,gated,5.0,1000,1,42,308,5,0.3352448769168207,0.2063842625399908,0.9921727280877076,0.006834201264727,0.0032620019967046,
